subid,age,age.grp,gen,english
XS_0401,5.7,4,f,82
XS_0402,5.1,4,f,100
XS_0403,4.2,4,m,80
XS_0404,4.4,4,m,100
XS_0406,5.5,4,f,100
XS_0801,9.4,8,f,100
XS_0802,9.3,8,m,100
XS_0803,8,8,m,100
XS_0804,8.1,8,m,100
XS_0805,8.3,8,f,99
XS_0806,8.5,8,m,100
XS_0807,7.5,8,m,100
XS_0808,7.7,8,f,92
XS_0809,9,8,m,100
XS_0810,8,8,m,100
XS_0811,8.8,8,m,80
XS_0812,8.9,8,m,100
XS_0813,8.4,8,f,90
XS_0814,9.7,8,m,96
XS_0815,9.6,8,m,89
XS_1201,11.7,12,f,100
XS_1202,11.5,12,f,100
XS_1203,13.9,12,f,100
XS_1204,12,12,f,100
XS_1205,12.1,12,m,83
XS_1206,11.9,12,m,80
XS_1207,12.3,12,m,100
XS_1208,13.5,12,m,100
XS_1209,12.8,12,m,100
XS_1210,11.5,12,f,96
XS_1601,17,16,f,92
XS_1602,17.3,16,f,100
XS_1603,17.2,16,f,100
XS_1604,17.8,16,m,100
XS_1605,16.2,16,m,100
XS_1606,15.5,16,m,100
XS_1607,17.2,16,f,86
XS_1608,16.4,16,m,100
XS_1609,17.2,16,f,100
XS_1610,17,16,m,100
XS_1611,17.7,16,f,100
XS_1612,15.6,16,m,100
XS_2003,20.2,20,m,100
XS_2004,21,20,m,99
XS_2005,20.1,20,f,83
XS_2006,21.8,20,m,92
XS_2007,21.1,20,m,94
XS_2008,21.8,20,m,100
XS_2009,19.7,20,f,96
XS_2010,20.2,20,m,83
XS_2011,21.9,20,f,100
