frame,time
1,0.005
2,0.069
3,0.102
4,0.166
5,0.198
6,0.263
7,0.327
8,0.360
9,0.424
10,0.456
11,0.521
12,0.553
13,0.618
14,0.650
15,0.715
16,0.779
17,0.811
18,0.876
19,0.908
20,0.940
21,0.973
22,1.037
23,1.069
24,1.102
25,1.134
26,1.198
27,1.231
28,1.263
29,1.295
30,1.360
31,1.392
32,1.457
33,1.489
34,1.521
35,1.586
36,1.618
37,1.650
38,1.682
39,1.715
40,1.779
41,1.811
42,1.844
43,1.876
44,1.940
45,1.973
46,2.005
47,2.037
48,2.102
49,2.134
50,2.166
51,2.199
52,2.263
53,2.295
54,2.328
55,2.360
56,2.424
57,2.457
58,2.489
59,2.521
60,2.586
61,2.618
62,2.650
63,2.682
64,2.747
65,2.779
66,2.812
67,2.844
68,2.908
69,2.941
70,2.973
71,3.005
72,3.070
73,3.102
74,3.134
75,3.166
76,3.231
77,3.263
78,3.295
79,3.328
80,3.392
81,3.424
82,3.457
83,3.489
84,3.554
85,3.586
86,3.618
87,3.650
88,3.715
89,3.747
90,3.779
91,3.812
92,3.876
93,3.908
94,3.941
95,3.973
96,4.037
97,4.070
98,4.102
99,4.134
100,4.199
101,4.231
102,4.263
103,4.296
104,4.360
105,4.392
106,4.425
107,4.457
108,4.521
109,4.554
110,4.586
111,4.618
112,4.683
113,4.715
114,4.747
115,4.779
116,4.844
117,4.876
118,4.908
119,4.973
120,5.038
121,5.070
122,5.102
123,5.134
124,5.167
125,5.199
126,5.231
127,5.263
128,5.328
129,5.360
130,5.392
131,5.425
132,5.489
133,5.521
134,5.554
135,5.586
136,5.650
137,5.683
138,5.715
139,5.747
140,5.812
141,5.844
142,5.876
143,5.909
144,5.973
145,6.005
146,6.038
147,6.070
148,6.134
149,6.167
150,6.199
151,6.231
152,6.296
153,6.328
154,6.360
155,6.392
156,6.457
157,6.489
158,6.522
159,6.554
160,6.586
161,6.651
162,6.683
163,6.715
164,6.780
165,6.812
166,6.876
167,6.909
168,6.973
169,7.005
170,7.070
171,7.102
172,7.167
173,7.231
174,7.264
175,7.328
176,7.360
177,7.425
178,7.457
179,7.522
180,7.554
181,7.618
182,7.651
183,7.715
184,7.780
185,7.812
186,7.844
187,7.876
188,7.941
189,7.973
190,8.006
191,8.038
192,8.102
193,8.135
194,8.167
195,8.199
196,8.264
197,8.296
198,8.328
199,8.360
200,8.425
201,8.457
202,8.489
203,8.522
204,8.586
205,8.618
206,8.651
207,8.683
208,8.748
209,8.780
210,8.812
211,8.844
212,8.909
213,8.941
214,8.973
215,9.006
216,9.070
217,9.102
218,9.135
219,9.167
220,9.231
221,9.264
222,9.328
223,9.360
224,9.393
225,9.457
226,9.490
227,9.522
228,9.554
229,9.586
230,9.619
231,9.651
232,9.715
233,9.748
234,9.780
235,9.812
236,9.877
237,9.909
238,9.941
239,9.973
240,10.038
241,10.070
242,10.102
243,10.135
244,10.199
245,10.232
246,10.264
247,10.296
248,10.361
249,10.393
250,10.425
