name,time
manu,00:00:05.7
manu,00:00:50.7
manu,00:01:15.5
car,00:02:44.3
car,00:02:45.2
car,00:02:47.0
car,00:03:02.8
car,00:03:26.8
car,00:03:37.5
manu,00:03:54.4
car,00:04:28.4
tima,00:05:35.0
tima,00:05:36.4
tima,00:05:43.7
tima,00:05:48.6
tima,00:05:50.2
tima,00:06:01.8
tima,00:06:04.5
tima,00:06:15.3
tima,00:06:46.0
tima,00:06:54.0
tima,00:07:00.5
tima,00:07:01.2
tima,00:07:14.3
tima,00:07:16.6
tima,00:07:22.6
tima,00:07:39.2
ball,00:08:23.8
ball,00:08:27.1
car,00:08:33.5
brush,00:08:39.5
car,00:08:44.9
tima,00:08:46.5
tima,00:08:47.7
brush,00:08:53.6
car,00:09:12.6
zem,00:09:14.7
car,00:09:17.4
zem,00:09:17.7
tima,00:09:29.5
brush,00:09:34.1
brush,00:09:40.4
puppy,00:09:40.6
puppy,00:09:51.1
puppy,00:09:52.1
ball,00:09:53.1
ball,00:09:59.1
zem,00:10:00.1
ball,00:10:00.8
ball,00:10:01.8
zem,00:10:02.5
ball,00:10:08.8
car,00:10:21.6
car,00:10:24.6
car,00:10:27.5
car,00:10:41.7
zem,00:11:07.0
puppy,00:11:07.5
tima,00:11:13.1
puppy,00:11:22.6
tima,00:11:23.3
tima,00:12:01.4
