start,end,posture,orientation
09:29.0,09:34.3,si,3
09:33.3,09:36.4,c,3
09:36.4,09:58.6,c,0
09:58.6,10:08.6,c,2
10:08.6,10:18.1,c,1
10:18.1,10:39.4,c,0
10:39.4,10:42.9,c,2
10:42.9,10:57.8,si,1
10:57.8,11:12.3,c,0
11:12.3,11:15.7,c,2
11:15.7,11:17.3,c,3
11:17.3,11:30.8,si,1
12:22.7,12:25.9,c,2
12:25.9,12:29.2,st,2
12:29.2,12:36.0,si,2
12:36.0,12:56.4,carry,5
12:56.4,12:57.2,si,2
12:57.2,13:40.2,other,5
13:40.2,14:05.7,si,3
14:05.7,14:11.0,c,3
14:11.0,14:24.4,c,0
14:24.4,14:33.2,c,2
14:33.2,14:41.4,si,1
14:41.4,14:54.0,c,1
